    100,       8.77,           9,       0.10,       11.40,        1.03,        1.15,     100,       0
    200,       9.05,          19,       0.13,       22.10,        2.10,        2.84,     200,       0
    300,       9.26,          29,       0.19,       32.40,        3.13,        6.22,     300,       0
    400,      11.16,          39,       0.27,       35.84,        3.49,        9.84,     400,       0
    500,      13.23,          49,       0.49,       37.79,        3.70,       18.46,     500,       0
    600,      12.96,          59,       0.48,       46.30,        4.55,       22.24,     600,       0
    700,      11.88,          68,       0.45,       58.92,        5.72,       26.52,     700,       0
    800,      13.05,          78,       0.55,       61.30,        5.98,       33.95,     800,       0
    900,      13.96,          88,       0.61,       64.47,        6.30,       39.40,     900,       0
   1000,      16.88,          98,       0.89,       59.24,        5.81,       52.71,    1000,       0
   1100,      17.88,         108,       1.02,       61.52,        6.04,       63.05,    1100,       0
   1200,      18.02,         118,       1.06,       66.59,        6.55,       70.44,    1200,       0
   1296,      33.02,         127,       1.54,       39.25,        3.85,       60.30,    1296,       4
   1400,      28.27,         137,       1.81,       49.52,        4.85,       89.81,    1400,       0
   1500,      39.05,         147,       2.29,       38.41,        3.76,       88.03,    1500,       0
   1600,      24.75,         157,       1.65,       64.65,        6.34,      106.85,    1600,       0
   1700,      32.71,         167,       1.95,       51.97,        5.11,      101.44,    1700,       0
   1800,      30.30,         177,       1.90,       59.41,        5.84,      112.96,    1800,       0
   1900,      29.21,         187,       2.06,       65.05,        6.40,      133.72,    1900,       0
   1999,      39.13,         196,       2.04,       51.09,        5.01,      104.24,    1999,       1
   2100,      33.23,         206,       2.33,       63.20,        6.20,      146.98,    2100,       0
   2200,      35.24,         216,       2.43,       62.43,        6.13,      151.76,    2200,       0
   2300,      36.66,         226,       2.57,       62.74,        6.16,      161.29,    2300,       0
   2400,      42.86,         236,       2.88,       56.00,        5.51,      161.08,    2400,       0
   2500,      42.12,         246,       2.93,       59.35,        5.84,      173.63,    2500,       0
